Gender,First Name,Last Name,City,State,Country,Age,Annual Vacation Days,Average Monthly Spend on Entertainment,Number of Online Purchases in Last Month,Number of Charity Donations in Last Year,Average Weekly Exercise Hours,Investment Portfolio Value,Health Consciousness Rating,Education Level,Average Daily Screen Time,Environmental Awareness Rating,Social Media Influence Score,Risk Tolerance in Investments,Number of Professional Trainings Attended,Tech-Savviness Score,Financial Wellness Index,Lifestyle Balance Score,Entertainment Engagement Factor,Social Responsibility Index,Work-Life Balance Indicator,Investment Risk Appetite,Eco-Consciousness Metric,Stress Management Score,Time Management Skill,Lifestyle Choice
female,Suzy,Silva,Stevenage,Avon,United Kingdom,44,13.7159,45.212,157.2589,0.0,2.4225,10.6704,0.7111,2.4466,6.0159,1.3636,4.9498,10.2536,2.5374,14.7536,100.3237,11.6227,2.2184,0.0704,0.0451,7.593,0.0,3.9451,15.7903,Adventure Seeker
female,Sally,Gibson,Oklahoma City,Illinois,United States,48,32.0624,7.4413,193.817,2.8608,0.0453,2.895,5.1157,6.2208,4.7084,0.4698,1.3075,4.258,3.3516,15.4545,104.2976,36.5908,1.1491,0.0,0.0,2.1466,0.1201,2.7136,30.6836,Health-Conscious
female,Mia,Clarke,Auckland,Bay of Plenty,New Zealand,57,10.6365,45.8657,160.6038,0.0,0.0866,10.0307,0.8319,7.6107,5.6244,0.4847,6.3719,8.4232,2.9632,14.4721,76.0354,9.222,2.5258,0.0485,0.9202,0.2511,0.0142,5.0137,25.1728,Investor
female,Asunción,Soto,San Sebastián,Melilla,Spain,41,24.4484,18.5703,149.5009,0.6336,0.0826,206.2047,0.7148,3.6277,5.4323,2.359,4.0031,12.5812,4.076,15.0221,86.2727,29.9217,2.0323,0.0,0.0081,7.6289,0.0512,4.044,65.9624,Eco-Friendly
female,Diana,Sims,Lincoln,Nottinghamshire,United Kingdom,38,0.4559,13.9448,172.6027,0.2805,0.2398,9.1926,0.4122,6.1602,5.5013,0.4364,15.1091,2.3979,2.8002,16.7114,88.8377,2.1676,1.9446,0.0,0.6009,1.1004,0.0,2.7543,20.4871,Adventure Seeker
female,Akhila,Kulkarni,Udupi,Kerala,India,60,17.7607,9.1705,134.5241,0.0,0.0627,12.4838,0.5917,7.9998,1.955,3.0753,7.7981,2.3569,0.1222,25.3045,96.7717,14.585,1.2314,0.0,0.0318,6.3512,0.0,1.47,1.3045,Eco-Friendly
female,Zara,Kumar,Lower Hutt,Canterbury,New Zealand,43,25.467,41.9134,124.0716,0.0,0.3103,2.042,0.6963,5.8663,2.5939,2.8651,6.0014,3.8461,3.8564,12.4573,48.153,24.2299,2.1988,0.1076,0.0491,4.642,0.0068,4.4316,37.1594,Urban Professional
female,Irene,Moreno,Toledo,Ceuta,Spain,44,7.7086,9.4708,111.4199,0.0,0.0345,13.6003,0.6344,5.219,1.3835,0.8175,10.8433,6.308,1.0291,22.9615,101.9174,5.7666,1.8448,0.081,0.3354,7.5283,0.0,2.4647,1.9469,Tech-Savvy
female,Samantha,Hall,Greymouth,Gisborne,New Zealand,40,37.3911,8.3902,124.5324,0.0,0.0,26.7386,0.9329,10.2533,7.0901,0.8059,2.0327,7.2689,2.9005,13.1636,146.3141,39.7197,1.5018,0.0,0.2011,2.5914,0.017,2.2237,24.2881,Investor
female,Josefina,Gil,Fuenlabrada,Navarra,Spain,37,12.2592,34.2485,166.1106,0.0,0.1079,13.8218,0.5684,7.1236,3.9614,0.6449,7.2833,1.0696,3.4191,16.0194,102.6935,12.7616,1.9679,0.0,0.0,3.6559,0.0226,3.1486,34.4278,Travel Enthusiast
female,Ashley,Lucas,Bernalillo,Texas,United States,31,10.6426,7.1403,152.8835,0.0,2.6877,12.3119,0.0323,6.8147,3.7299,1.5689,12.311,3.2414,3.828,13.7592,98.3505,11.961,1.3653,0.0429,0.4303,6.2026,0.0,2.1427,41.368,Adventure Seeker
female,Myrtle,Hanson,Eugene,North Dakota,United States,19,6.9527,31.492,141.952,0.3978,0.0573,9.9308,0.5613,7.4967,6.6445,1.4983,6.9291,4.7512,3.1554,23.2474,98.2614,4.6625,2.537,0.0,0.0,4.7842,0.0236,4.8134,37.1272,Digital Nomad
